timestamp,open,high,low,close,volume
2024-12-31 17:00:00,711.79,711.89,700.41,704.83,20684.963
2024-12-31 18:00:00,704.84,706.34,703.1,704.11,6519.445
2024-12-31 19:00:00,704.1,705.17,702.16,703.39,6510.849
2024-12-31 20:00:00,703.38,704.8,701.42,702.51,2492.779
2024-12-31 21:00:00,702.51,703.6,701.36,702.8,3784.575
2024-12-31 22:00:00,702.81,702.81,699.72,701.07,14877.857
2024-12-31 23:00:00,701.07,702.69,699.39,702.3,4775.59
2025-01-01 00:00:00,702.31,711.5,701.46,709.12,9224.971
2025-01-01 01:00:00,709.11,710.84,707.12,708.35,7131.072
2025-01-01 02:00:00,708.35,710.97,708.13,709.54,5672.372
2025-01-01 03:00:00,709.55,710.1,705.25,705.58,5811.696
2025-01-01 04:00:00,705.58,705.91,704.32,704.77,2535.66
2025-01-01 05:00:00,704.77,706.16,704.5,705.58,2653.027
2025-01-01 06:00:00,705.57,706.6,704.8,706.59,2554.735
2025-01-01 07:00:00,706.6,706.6,703.49,703.75,3815.636
2025-01-01 08:00:00,703.75,704.48,702.12,703.06,5612.99
2025-01-01 09:00:00,703.06,704.89,700.3,703.73,6961.785
2025-01-01 10:00:00,703.74,708.59,702.48,707.23,8677.928
2025-01-01 11:00:00,707.22,709.31,706.41,707.57,5923.8
2025-01-01 12:00:00,707.57,708.26,705.97,706.29,4604.304
2025-01-01 13:00:00,706.29,710.4,706.11,710.22,9840.507
2025-01-01 14:00:00,710.22,710.5,705.95,708.02,9588.554
2025-01-01 15:00:00,708.02,708.84,706.39,708.11,6530.054
2025-01-01 16:00:00,708.11,708.48,704.28,704.99,6922.214
2025-01-01 17:00:00,704.99,706.0,703.21,705.61,5123.602
2025-01-01 18:00:00,705.61,706.36,704.16,706.02,4686.233
2025-01-01 19:00:00,706.02,708.26,705.4,707.85,6826.516
2025-01-01 20:00:00,707.85,709.01,707.73,708.22,3475.183
2025-01-01 21:00:00,708.21,708.79,707.01,707.96,3352.156
2025-01-01 22:00:00,707.97,708.57,707.1,707.58,3479.645
2025-01-01 23:00:00,707.58,709.0,706.77,707.84,4698.699
2025-01-02 00:00:00,707.84,707.97,698.69,702.09,48172.675
2025-01-02 01:00:00,702.1,703.51,700.71,701.53,10116.441
2025-01-02 02:00:00,701.53,702.19,698.04,702.11,11455.209
2025-01-02 03:00:00,702.11,704.2,701.6,702.17,15201.967
2025-01-02 04:00:00,702.17,709.4,701.7,707.5,13716.499
2025-01-02 05:00:00,707.49,708.09,705.44,706.49,8738.548
2025-01-02 06:00:00,706.5,707.29,703.36,704.88,8309.344
2025-01-02 07:00:00,704.88,707.53,704.15,706.94,7608.939
2025-01-02 08:00:00,706.95,710.5,706.86,710.49,13680.887
2025-01-02 09:00:00,710.49,715.8,708.91,715.08,17496.676
2025-01-02 10:00:00,715.08,715.5,711.83,712.5,9977.582
2025-01-02 11:00:00,712.5,713.38,710.68,713.26,10090.054
2025-01-02 12:00:00,713.27,714.11,711.01,713.96,7739.656
2025-01-02 13:00:00,713.96,714.0,710.15,711.39,8692.893
2025-01-02 14:00:00,711.4,714.55,708.05,711.9,19175.937
2025-01-02 15:00:00,711.9,712.85,703.29,704.54,23344.701
2025-01-02 16:00:00,704.55,707.8,700.0,706.44,19074.871
2025-01-02 17:00:00,706.44,709.24,702.0,705.0,14888.878
2025-01-02 18:00:00,705.0,706.4,703.76,706.4,4596.107
2025-01-02 19:00:00,706.4,707.64,704.32,704.81,4884.62
2025-01-02 20:00:00,704.81,707.08,704.77,706.1,3745.929
2025-01-02 21:00:00,706.11,706.36,704.59,705.99,3879.121
2025-01-02 22:00:00,705.99,706.16,703.25,705.76,3737.924
2025-01-02 23:00:00,705.75,706.64,705.0,706.25,4208.353
2025-01-03 00:00:00,706.24,706.8,703.69,704.07,8630.452
2025-01-03 01:00:00,704.08,704.65,701.1,704.65,11327.852
2025-01-03 02:00:00,704.61,706.53,703.77,703.88,7288.939
2025-01-03 03:00:00,703.88,705.28,702.7,705.2,4922.125
2025-01-03 04:00:00,705.2,706.09,704.08,704.71,5283.37
2025-01-03 05:00:00,704.72,705.63,703.36,705.31,6828.871
2025-01-03 06:00:00,705.31,706.93,702.7,702.84,5238.009
2025-01-03 07:00:00,702.84,703.28,700.32,700.73,12899.447
2025-01-03 08:00:00,700.72,701.52,697.03,699.14,15296.687
2025-01-03 09:00:00,699.14,702.5,699.07,701.3,12868.234
2025-01-03 10:00:00,701.31,702.88,699.84,701.01,27858.04
2025-01-03 11:00:00,701.01,705.48,701.0,705.4,11515.918
2025-01-03 12:00:00,705.39,707.33,703.5,703.71,12134.644
2025-01-03 13:00:00,703.71,706.36,703.27,704.61,10647.019
2025-01-03 14:00:00,704.62,709.87,704.61,708.15,20190.922
2025-01-03 15:00:00,708.15,711.0,706.8,710.04,19975.951
2025-01-03 16:00:00,710.03,715.69,709.77,712.72,31128.079
2025-01-03 17:00:00,712.73,713.32,708.44,711.97,18438.053
2025-01-03 18:00:00,711.97,714.07,711.8,712.09,9019.248
2025-01-03 19:00:00,712.09,714.0,711.73,713.28,7022.013
2025-01-03 20:00:00,713.27,713.61,709.75,712.12,11454.769
2025-01-03 21:00:00,712.11,715.53,711.8,714.36,9271.393
2025-01-03 22:00:00,714.35,715.0,713.08,713.81,5945.142
2025-01-03 23:00:00,713.81,715.05,712.15,714.88,6516.498
2025-01-04 00:00:00,714.87,720.4,714.81,717.1,20140.374
2025-01-04 01:00:00,717.1,718.2,714.64,715.98,9210.722
2025-01-04 02:00:00,715.97,719.29,714.01,719.29,9975.748
2025-01-04 03:00:00,719.29,721.84,718.38,719.43,11480.832
2025-01-04 04:00:00,719.43,720.37,716.51,720.13,7597.92
2025-01-04 05:00:00,720.14,720.38,718.3,719.36,5111.599
2025-01-04 06:00:00,719.36,719.59,717.29,718.8,3819.337
2025-01-04 07:00:00,718.8,718.84,717.68,717.95,3874.259
2025-01-04 08:00:00,717.95,718.17,713.24,714.51,7548.266
2025-01-04 09:00:00,714.51,716.3,714.33,715.56,4883.737
2025-01-04 10:00:00,715.55,715.59,713.0,714.19,4832.854
2025-01-04 11:00:00,714.19,714.41,713.14,714.21,3599.423
2025-01-04 12:00:00,714.21,717.45,713.51,717.02,7607.785
2025-01-04 13:00:00,717.01,717.18,714.26,715.25,6075.852
2025-01-04 14:00:00,715.25,716.94,714.84,716.77,5271.073
2025-01-04 15:00:00,716.77,717.11,707.82,709.38,18907.755
2025-01-04 16:00:00,709.38,711.96,709.28,710.79,5767.245
2025-01-04 17:00:00,710.8,712.74,710.56,712.71,2654.976
2025-01-04 18:00:00,712.71,713.14,711.13,711.7,2663.96
